NEW_TAICCA_ID,1106亦式ID,TAICCA_ID,未納入書目FIND,bookscom_production_id,kobo_production_id,readmoo_production_id,isbn,bookscom_isbn,kobo_isbn,readmoo_isbn,eisbn,bookscom_eisbn,kobo_eisbn,readmoo_eisbn,title,備註,bookscom_title,kobo_title,readmoo_title,processed_title,bookscom_processed_title,kobo_processed_title,readmoo_processed_title,original_title,bookscom_original_title,kobo_original_title,readmoo_original_title,author,bookscom_author,kobo_author,readmoo_author,translator,bookscom_translator,kobo_translator,readmoo_translator,publisher,Clean_publisher,bookscom_publisher,kobo_publisher,readmoo_publisher,min_publish_date,max_publish_date,bookscom_publish_date,kobo_publish_date,readmoo_publish_date,price,bookscom_original_price,kobo_original_price,readmoo_original_price,bookscom_category,kobo_category,readmoo_category,kobo_type_ebook,readmoo_type_ebook,bookscom_url,kobo_url,readmoo_url,FALSE
E253-20229 / E253-12886,NEW3881 / NEW2182,E253-20230 / E253-10886,（空白） / FIND_3614,,auFbcvEf5DaWT6RshgTCCg,210405294000101.0,9786263397965,,9786263397965.0,9786263397965.0,9786263397965,,9786263397965.0,9786263397965.0,警門贅婿(1),,,警門贅婿(1),警門贅婿(1),警門贅婿1,,警門贅婿1,警門贅婿1,,,,,寫書還債,,寫書還債,寫書還債,,,,,河圖文化,,,,河圖文化,2025/7/30,2025/7/30,,2025/7/30,2025/7/30,180.0,,180.0,180.0,,愛情-成人-科幻小說與奇幻小說,羅曼史\言情小說-情慾小說（18限）,EPUB 3 (Adobe DRM),流動版面 EPUB,,https://www.kobo.com/tw/zh/ebook/auFbcvEf5DaWT6RshgTCCg,https://readmoo.com/book/210405294000101,False
E253-20233 / E253-12887,NEW3882 / NEW2183,E253-20234 / E253-10887,（空白） / FIND_3615,,wVkzO0FHQjGTAVKMSP7-RQ,210405288000101.0,9786263397972,,9786263397972.0,9786263397972.0,9786263397972,,9786263397972.0,9786263397972.0,警門贅婿(2),,,警門贅婿(2),警門贅婿(2),警門贅婿2,,警門贅婿2,警門贅婿2,,,,,寫書還債,,寫書還債,寫書還債,,,,,河圖文化,,,,河圖文化,2025/7/30,2025/7/30,,2025/7/30,2025/7/30,180.0,,180.0,180.0,,愛情-成人-科幻小說與奇幻小說,羅曼史\言情小說-情慾小說（18限）,EPUB 3 (Adobe DRM),流動版面 EPUB,,https://www.kobo.com/tw/zh/ebook/wVkzO0FHQjGTAVKMSP7-RQ,https://readmoo.com/book/210405288000101,False
E253-20042 / E253-12888,NEW3375 / NEW3007,E253-20043 / E253-10888,（空白） / FIND_3616,,7eQctz-KVTepODtCQ4KDaA,210411791000101.0,9786263398122,,9786263398122.0,9786263398122.0,9786263398122,,9786263398122.0,9786263398122.0,警門贅婿(3),,,警門贅婿(3),警門贅婿(3),警門贅婿3,,警門贅婿3,警門贅婿3,,,,,寫書還債,,寫書還債,寫書還債,,,,,河圖文化,,,,河圖文化,2025/8/31,2025/8/31,,2025/8/31,2025/8/31,180.0,,180.0,180.0,,愛情-成人-科幻小說與奇幻小說,羅曼史\言情小說-情慾小說（18限）,EPUB 3 (Adobe DRM),流動版面 EPUB,,https://www.kobo.com/tw/zh/ebook/7eQctz-KVTepODtCQ4KDaA,https://readmoo.com/book/210411791000101,False
E253-20033 / E253-12889,NEW3376 / NEW3008,E253-20034 / E253-10889,（空白） / FIND_3617,,CIrrkHcSAjaifQ3-ttDh2w,210411801000101.0,9786263398139,,9786263398139.0,9786263398139.0,9786263398139,,9786263398139.0,9786263398139.0,警門贅婿(4),,,警門贅婿(4),警門贅婿(4),警門贅婿4,,警門贅婿4,警門贅婿4,,,,,寫書還債,,寫書還債,寫書還債,,,,,河圖文化,,,,河圖文化,2025/8/31,2025/8/31,,2025/8/31,2025/8/31,180.0,,180.0,180.0,,愛情-成人-科幻小說與奇幻小說,羅曼史\言情小說-情慾小說（18限）,EPUB 3 (Adobe DRM),流動版面 EPUB,,https://www.kobo.com/tw/zh/ebook/CIrrkHcSAjaifQ3-ttDh2w,https://readmoo.com/book/210411801000101,False
E253-20037 / E253-12890,NEW3642 / NEW2278,E253-20038 / E253-10890,（空白） / FIND_3618,,rwuZhCU2zjiXMYRhyBar0A,210411797000101.0,9786263398344,,9786263398344.0,9786263398344.0,9786263398344,,9786263398344.0,9786263398344.0,警門贅婿(5),,,警門贅婿(5),警門贅婿(5),警門贅婿5,,警門贅婿5,警門贅婿5,,,,,寫書還債,,寫書還債,寫書還債,,,,,河圖文化,,,,河圖文化,2025/9/20,2025/9/20,,2025/9/20,2025/9/20,180.0,,180.0,180.0,,愛情-成人-科幻小說與奇幻小說,羅曼史\言情小說-情慾小說（18限）,EPUB 3 (Adobe DRM),流動版面 EPUB,,https://www.kobo.com/tw/zh/ebook/rwuZhCU2zjiXMYRhyBar0A,https://readmoo.com/book/210411797000101,False
E253-20036 / E253-12891,NEW3643 / NEW2279,E253-20037 / E253-10891,（空白） / FIND_3619,,LaGSp7OMFzeIsqz2c492Hw,210411798000101.0,9786263398351,,9786263398351.0,9786263398351.0,9786263398351,,9786263398351.0,9786263398351.0,警門贅婿(6),,,警門贅婿(6),警門贅婿(6),警門贅婿6,,警門贅婿6,警門贅婿6,,,,,寫書還債,,寫書還債,寫書還債,,,,,河圖文化,,,,河圖文化,2025/9/20,2025/9/20,,2025/9/20,2025/9/20,180.0,,180.0,180.0,,愛情-成人-科幻小說與奇幻小說,羅曼史\言情小說-情慾小說（18限）,EPUB 3 (Adobe DRM),流動版面 EPUB,,https://www.kobo.com/tw/zh/ebook/LaGSp7OMFzeIsqz2c492Hw,https://readmoo.com/book/210411798000101,False
E253-12884,NEW1054,E253-10884,FIND_3612,E050291656,,,,,,,9786263397965,9786263397965.0,,,警門贅婿1(限),,警門贅婿1(限),,,警門贅婿1限,警門贅婿1限,,,,,,,寫書還債,寫書還債,,,,,,,河圖文化,,河圖文化,,,2025/7/30,2025/7/30,2025/7/30,,,180.0,180.0,,,文學小說-華文創作-小說,,,,,https://www.books.com.tw/products/E050291656,,,False
E253-12885,NEW1055,E253-10885,FIND_3613,E050291657,,,,,,,9786263397972,9786263397972.0,,,警門贅婿2(限),,警門贅婿2(限),,,警門贅婿2限,警門贅婿2限,,,,,,,寫書還債,寫書還債,,,,,,,河圖文化,,河圖文化,,,2025/7/30,2025/7/30,2025/7/30,,,180.0,180.0,,,文學小說-華文創作-小說,,,,,https://www.books.com.tw/products/E050291657,,,False
E253-06852,E253-04648,E253-06849,,E050291658,,,,,,,,,,,警門贅婿3(限)(電子書),,警門贅婿3(限) (電子書),,,警門贅婿3限電子書,警門贅婿3限電子書,,,,,,,寫書還債,寫書還債,,,,,,,河圖文化,河圖文化,河圖文化,,,2025/8/31,2025/8/31,2025/8/31,,,180.0,180.0,,,中文書 >  文學小說 > 華文創作 > 小說,,,,,https://www.books.com.tw/products/E050291658,,,False
E253-06853,E253-04649,E253-06850,,E050291659,,,,,,,,,,,警門贅婿4(限)(電子書),,警門贅婿4(限) (電子書),,,警門贅婿4限電子書,警門贅婿4限電子書,,,,,,,寫書還債,寫書還債,,,,,,,河圖文化,河圖文化,河圖文化,,,2025/8/31,2025/8/31,2025/8/31,,,180.0,180.0,,,中文書 >  文學小說 > 華文創作 > 小說,,,,,https://www.books.com.tw/products/E050291659,,,False
