bookscom_production_id,kobo_production_id,readmoo_production_id,isbn,bookscom_isbn,kobo_isbn,readmoo_isbn,eisbn,bookscom_eisbn,kobo_eisbn,readmoo_eisbn,title,bookscom_title,kobo_title,readmoo_title,processed_title,bookscom_processed_title,kobo_processed_title,readmoo_processed_title,original_title,bookscom_original_title,kobo_original_title,readmoo_original_title,author,bookscom_author,kobo_author,readmoo_author,translator,bookscom_translator,kobo_translator,readmoo_translator,publisher,bookscom_publisher,kobo_publisher,readmoo_publisher,min_publish_date,max_publish_date,bookscom_publish_date,kobo_publish_date,readmoo_publish_date,price,bookscom_original_price,kobo_original_price,readmoo_original_price,bookscom_category,kobo_category,readmoo_category,bookscom_type_ebook,kobo_type_ebook,readmoo_type_ebook,bookscom_url,kobo_url,readmoo_url
E050304603,,,,9786260000000,,,,9786260000000,,,,小幸運女子群像（美國國家圖書獎最佳小說提名） (電子書),,,,小幸運女子群像美國國家圖書獎最佳小說提名 電子書,,,,All This Could Be Different,,,,莎拉．譚坎姆．馬修斯,,,,李靜宜,,,,木馬文化,,,,,2025/12/3,,,,500,,,中文書 >  文學小說 > 翻譯文學 > 美國文學,,,EPUB流動版型,,,https://www.books.com.tw/products/E050304603,,
E050304291,,,,9786260000000,,,,9786260000000,,,,北方森林（《紐約時報》讀者票選21世紀百大好書‧普立茲獎入圍作家） (電子書),,,,北方森林紐約時報讀者票選21世紀百大好書普立茲獎入圍作家 電子書,,,,North Woods,,,,丹尼爾‧梅森,,,,葉佳怡,,,,麥田,,,,,2025/11/29,,,,580,,,中文書 >  文學小說 > 翻譯文學 > 美國文學,,,EPUB流動版型,,,https://www.books.com.tw/products/E050304291,,
E050303517,,,,9786260000000,,,,9786260000000,,,,深淵書簡（王爾德逝世125週年紀念版） (電子書),,,,深淵書簡王爾德逝世125週年紀念版 電子書,,,,De Profundis,,,,王爾德,,,,林步昇,,,,麥田,,,,,2025/11/27,,,,400,,,中文書 >  文學小說 > 翻譯文學 > 美國文學,,,EPUB流動版型,,,https://www.books.com.tw/products/E050303517,,
E050300136,,,,9786270000000,,,,9786270000000,,,,莫爾格街凶殺案：謎與詭計的開端，推理小說開山祖愛倫坡，推理奇幻傑作選 (電子書),,,,莫爾格街凶殺案謎與詭計的開端推理小說開山祖愛倫坡推理奇幻傑作選 電子書,,,,The Murders in the Rue Morgue and Other Great Tales,,,,愛倫坡,,,,沈聿德,,,,大牌出版,,,,,2025/11/12,,,,380,,,中文書 >  文學小說 > 翻譯文學 > 美國文學,,,EPUB流動版型,,,https://www.books.com.tw/products/E050300136,,
E050305432,,,,,,,,9786260000000,,,,焦渴者（哈利警探系列11）【作者簽名收藏版】 (電子書),,,,焦渴者哈利警探系列11作者簽名收藏版 電子書,,,,TØRST,,,,尤．奈斯博,,,,林立仁,,,,漫遊者文化,,,,,2025/12/8,,,,350,,,中文書 >  文學小說 > 翻譯文學 > 其他地區,,,EPUB流動版型,,,https://www.books.com.tw/products/E050305432,,
E050305433,,,,,,,,9786260000000,,,,刀（哈利警探系列12）【作者簽名收藏版】 (電子書),,,,刀哈利警探系列12作者簽名收藏版 電子書,,,,KNIV,,,,尤．奈斯博,,,,林立仁,,,,漫遊者文化,,,,,2025/12/8,,,,364,,,中文書 >  文學小說 > 翻譯文學 > 其他地區,,,EPUB流動版型,,,https://www.books.com.tw/products/E050305433,,
E050305428,,,,,,,,9786260000000,,,,幽靈（哈利警探系列9）【作者簽名收藏版】 (電子書),,,,幽靈哈利警探系列9作者簽名收藏版 電子書,,,,GJENFERD,,,,尤．奈斯博,,,,林立仁,,,,漫遊者文化,,,,,2025/12/8,,,,315,,,中文書 >  文學小說 > 翻譯文學 > 其他地區,,,EPUB流動版型,,,https://www.books.com.tw/products/E050305428,,
E050303676,,,,9786260000000,,,,9786260000000,,,,西洋棋的故事：茨威格中短篇小說精選 (電子書),,,,西洋棋的故事茨威格中短篇小說精選 電子書,,,,,,,,史蒂芬．茨威格,,,,楊植鈞,,,,時報出版,,,,,2025/11/14,,,,400,,,中文書 >  文學小說 > 翻譯文學 > 其他地區,,,EPUB流動版型,,,https://www.books.com.tw/products/E050303676,,
E050308130,,,,9786270000000,,,,9786270000000,,,,花開時節（全新修訂版） (電子書),,,,花開時節全新修訂版 電子書,,,,,,,,楊双子,,,,,,,,春山出版,,,,,2025/12/2,,,,460,,,中文書 >  文學小說 > 華文創作 > 小說,,,EPUB流動版型,,,https://www.books.com.tw/products/E050308130,,
E050302591,,,,9789860000000,,,,9789860000000,,,,艋舺奇幻調 (電子書),,,,艋舺奇幻調 電子書,,,,,,,,朱浩一,,,,,,,,圓神,,,,,2025/12/1,,,,430,,,中文書 >  文學小說 > 華文創作 > 小說,,,EPUB流動版型,,,https://www.books.com.tw/products/E050302591,,
