production_id,title,author,translator,publisher,publish_date,price,isbn,original_title,categories,url
10012016082682980385001,"與插畫家的合作指南: 多媒體時代必備技能! 從發案、修改到完稿, 頂尖插畫製作人的全方位工作手冊",白川桃子,黃姿頤,紙印良品出版社,2025-10-02,599,9786269934737,たのしく、イラストディレクション!,中文書 > 藝術設計 > 設計,https://www.eslite.com/product/10012016082682980385001
10012013192683067583006,屏城紀事: 城市觀察畫家筆繪屏東前世今生,鄭開翔,,馬可孛羅文化事業股份有限公司,2026-01-08,580,9786267747490,,中文書 > 美術 > 中／臺藝術家與作品,https://www.eslite.com/product/10012013192683067583006
10012030392683071152007,"風暴中心的追風者, 攝影與科學交會的真實現場: 從攝影到氣象, 走進颱風與龍捲風核心, 捕捉自然最驚心動魄的力量",蘇鏑坷,,機曜文化事業有限公司,2026-01-14,720,9786267782163,,中文書 > 藝術設計 > 攝影,https://www.eslite.com/product/10012030392683071152007
10012012032683074834009,當代中國藝術史 (精裝),周彥,,傾向出版社有限公司,2026-01-15,1800,9789869827652,,中文書 > 美術 > 中／臺美術總論,https://www.eslite.com/product/10012012032683074834009
10012013192683056352002,日本絕景攝影指南: 200個季節限定景點×完整實拍設定,デジタルカメラマガジン編輯部,嚴可婷,麥浩斯資訊股份有限公司,2026-01-01,599,9786267812228,日本の絶景写真ベスト200,中文書 > 藝術設計 > 攝影,https://www.eslite.com/product/10012013192683056352002
10012043902683078281007,安妮．華達: 愛至上．凝視生命．記憶時間．遊走真實與夢想的影像詩人,羅荷．阿德勒,馬向陽,奇光出版,2026-01-28,650,9786267685396,,中文書 > 藝術設計 > 電影,https://www.eslite.com/product/10012043902683078281007
10012013192683062103001,臺灣石獅全圖錄 (第2版),陳磅礴,,貓頭鷹出版社,2026-01-01,1710,9789862627488,,中文書 > 美術 > 中／臺美術總論,https://www.eslite.com/product/10012013192683062103001
10012107272683069847007,慢步在雲端: 短影音時代的長影像閱讀法,魏玓,,國立陽明交通大學出版社,2026-01-07,450,9786267612262,,中文書 > 藝術設計 > 電影,https://www.eslite.com/product/10012107272683069847007
10012240962683067831008,東方微笑 跨越千年: 麥積山石窟藝術特展,裴強強/ 如常法師,,佛光文化事業有限公司,2025-12-26,1000,9786269284405,,中文書 > 美術 > 中／臺美術總論,https://www.eslite.com/product/10012240962683067831008
10012107272683069500001,開史: 七十典藏．相遇起始,黃星達/ 主編; 高以璇/ 執行編輯,,國立歷史博物館,2025-12-01,1500,9786263952751,,中文書 > 美術 > 中／臺美術總論,https://www.eslite.com/product/10012107272683069500001
10012030392683077263004,鬼托邦: 高俊耀劇作選 II,高俊耀,,斑馬線文庫有限公司,2026-01-22,450,9786269996476,,中文書 > 藝術設計 > 表演藝術,https://www.eslite.com/product/10012030392683077263004
10012010632683046667000,遺世．永恆．葉世強 (附DVD),顏娟英,,藝術家出版社,2025-12-12,600,9786263952355,,中文書 > 美術 > 中／臺藝術家與作品,https://www.eslite.com/product/10012010632683046667000
10012127332683073779004,化外之醫,木木爪心,,印刻文學生活雜誌出版股份有限公司,2026-01-20,420,9789863878995,,中文書 > 藝術設計 > 表演藝術,https://www.eslite.com/product/10012127332683073779004
10012096462683021043003,大美近觀: 百年故宮．書畫百品的翰墨風華+2026年大美近觀．故宮書畫月曆,何炎泉/ 邱士華/ 林宛儒/ 蘇雅芬,,聯經出版事業股份有限公司,2025-11-06,1850,N/A,,中文書 > 美術 > 中／臺美術總論,https://www.eslite.com/product/10012096462683021043003
10012127332683072845007,我是你的菜,馮翊綱/ 總編纂; 相聲瓦舍藝術群/ 協力製作,,印刻文學生活雜誌出版股份有限公司,2026-01-16,460,9789863879039,,中文書 > 藝術設計 > 表演藝術,https://www.eslite.com/product/10012127332683072845007
10012010632683067925004,適當的人 (特典珍藏版/附台灣版獨家授權zz6親專屬卡套/小卡2張),李昌燮,謝宜蓁,時報文化出版企業股份有限公司,2026-01-13,520,N/A,李昌燮首部散文集,中文書 > 藝術設計 > 表演藝術,https://www.eslite.com/product/10012010632683067925004
10012107272683054432003,懷德樂美: 倪蔣懷紀念展,廖春鈴/ 莊慈/ 何冠緯,,臺北市立美術館,2025-11-01,1200,9786264100908,,中文書 > 美術 > 中／臺藝術家與作品,https://www.eslite.com/product/10012107272683054432003
10012225642683069141006,如果我不曾見過太陽: 小說,一諾影視; 簡奇峰/ 林欣慧/ 原著編劇,,重版文化整合事業股份有限公司,2026-01-12,550,9786269965786,,中文書 > 藝術設計 > 表演藝術,https://www.eslite.com/product/10012225642683069141006
10012043902683066095005,（沒有男性的）藝術的故事,凱蒂．赫塞爾,吳莉君,黑體文化,2026-01-07,1990,9786267705216,The Story of Art Without Men,中文書 > 美術 > 世界美術總論,https://www.eslite.com/product/10012043902683066095005
10012012142683067994000,夜海穿越: 舞蹈三疊 (附Through a Sea Darkly絕美書衣海報),李時雍,,有鹿文化事業有限公司,2026-01-02,420,9786267603475,,中文書 > 藝術設計 > 表演藝術,https://www.eslite.com/product/10012012142683067994000
10012117772683066052008,現代藝術大師的超現實人生 (第2版),德斯蒙德．莫里斯,,原點出版社,2026-01-06,499,9786267669891,"畢卡索、達利、米羅......32位藝術巨星的非凡人生, 一位歷史見證者的藝術真心話",中文書 > 美術 > 世界美術總論,https://www.eslite.com/product/10012117772683066052008
10012012142683067992006,文明新世界: 歌仔冊中的現代性與通俗文化,洪淑苓,,新文豐出版股份有限公司,2025-12-26,996,9789571733913,,中文書 > 藝術設計 > 表演藝術,https://www.eslite.com/product/10012012142683067992006
10012010632683071142008,"原來, 名畫應該這樣看: 隱藏在藝術背後的細節、巧思與驚奇",呂宸,,時報文化出版企業股份有限公司,2026-01-20,450,9786264440004,"停下别动, 放大看。: 看画惊喜笔记",中文書 > 美術 > 世界藝術家與作品,https://www.eslite.com/product/10012010632683071142008
10012022042683065868006,凝眸劇影．鏡照戲史,蔡欣欣,,國立政治大學,2025-12-23,600,9786267615188,,中文書 > 藝術設計 > 表演藝術,https://www.eslite.com/product/10012022042683065868006
10012010162683066064001,燦爛彤雲: 丁托萊托與威尼斯畫派,韓秀,,三民書局股份有限公司,2026-01-07,450,9789571479590,,中文書 > 美術 > 世界藝術家與作品,https://www.eslite.com/product/10012010162683066064001
10012013192683044642009,Babe Fantasy．寶兒寫真書 (誠品獨家限量親簽書衣版/附寫真海報隨機1款),寶兒,,創意市集,2025-12-11,650,N/A,,中文書 > 藝術設計 > 表演藝術,https://www.eslite.com/product/10012013192683044642009
10012117772683066056006,"別鬧了, 藝術家真的百百種啦! 二創、哄業主、蹭流量、表情包、直接偷, 7位藝術家個個身懷絕技, 條條大路通藝術",顧爺,,原點出版社,2026-01-06,480,9786267831021,,中文書 > 美術 > 世界藝術家與作品,https://www.eslite.com/product/10012117772683066056006
10012043902683069596004,藝術那麼多系列 III: 為何是壓克力?,麗塔．艾薩克,林庭如,二十張出版,2026-01-14,420,9786267784426,Do More Art: Acrylic,中文書 > 美術 > 書法雕塑繪畫技法,https://www.eslite.com/product/10012043902683069596004
10012043902683069597001,藝術那麼多系列套書: I 拜託了! 鉛筆+II 問問墨水吧!+III 為何是壓克力? (3冊合售),塞爾溫．黎米/ 伊芙．布萊克伍德/ 布莉琪．戴維斯/ 麗塔．艾薩克,林庭如,二十張出版,2026-01-14,1180,N/A,Do More Art,中文書 > 美術 > 書法雕塑繪畫技法,https://www.eslite.com/product/10012043902683069597001
10012011762683049127006,肌肉型男姿勢集: 基礎姿勢．日常動作構圖設計,マール社編輯部,曹茹蘋,台灣東販股份有限公司,2026-01-07,580,9786264373159,筋肉質な男性のポーズカタログ,中文書 > 美術 > 書法雕塑繪畫技法,https://www.eslite.com/product/10012011762683049127006
10012043902683060784004,"水彩用色創意實驗課: 15堂實作課, 掌握色彩理論要點與關鍵運筆技巧 (暢銷新版)",麗莎．索羅門,駱香潔,行路出版,2025-12-31,630,9786267771358,A Field Guide to Color: A Watercolor Workbook,中文書 > 美術 > 書法雕塑繪畫技法,https://www.eslite.com/product/10012043902683060784004
10012010632683071127005,學美之心: 你的美感 AI學不會,于國華,,時報文化出版企業股份有限公司,2026-01-20,480,9786264441292,,中文書 > 美術 > 民俗藝術與美育,https://www.eslite.com/product/10012010632683071127005
10012030392683069200000,劃破時空的光: 林貴榮眼中勒．柯比意的叛逆與傳奇,林貴榮,,內容變現股份有限公司,2026-01-23,750,9786269960118,,中文書 > 藝術設計 > 建築,https://www.eslite.com/product/10012030392683069200000
10012127372683067927008,從敕使街道到中山北路: 政治美學化與藝術轉向的城市地景記憶,殷寶寧,,典藏藝術家庭股份有限公司,2026-01-15,580,9786267430552,,中文書 > 藝術設計 > 建築,https://www.eslite.com/product/10012127372683067927008
10012116312682965034009,FIGHT FOR ALL: 李珠珢的主場日記 (誠品限定卡組版),李珠珢,,尖端出版,2025-11-04,799,N/A,,中文書 > 藝術設計 > 表演藝術,https://www.eslite.com/product/10012116312682965034009
10012010642683072229005,公共工程品質計畫與監造計畫實案專輯 (第2版),張京曜,,詹氏書局,2026-01-09,550,9789577056979,,中文書 > 藝術設計 > 建築,https://www.eslite.com/product/10012010642683072229005
10012107272683052286004,含笑嫣然: 王束花歌仔戲演藝生涯,蔡欣欣,,新北市政府,2025-11-01,250,9786267687338,,中文書 > 藝術設計 > 表演藝術,https://www.eslite.com/product/10012107272683052286004
10012013192683063359001,台灣古建築裝飾深度導覽圖錄 (第4版),康鍩錫,,貓頭鷹出版社,2026-01-08,630,9789862627990,,中文書 > 藝術設計 > 建築,https://www.eslite.com/product/10012013192683063359001
10012127332683022152001,新編楊逵全集．華文卷: 戲劇集,楊逵; 黃惠禎/ 全集主編; 楊翠/ 分集主編,,印刻文學生活雜誌出版股份有限公司,2025-10-28,550,9786263952645,,中文書 > 藝術設計 > 表演藝術,https://www.eslite.com/product/10012127332683022152001
10012019612683069858003,工程契約理論與實務: 兼論政府採購法 (第6版),謝哲勝/ 李金松,,翰蘆圖書出版有限公司,2026-01-03,760,9786267582343,,中文書 > 藝術設計 > 建築,https://www.eslite.com/product/10012019612683069858003
10012123802683023038007,空手打天下,歐錦棠,,好年華,2025-10-24,690,9789887131830,,中文書 > 藝術設計 > 表演藝術,https://www.eslite.com/product/10012123802683023038007
10012023262683064672000,"世界建築圖鑑: 從古文明到3D列印, 跨越時代的建築美學與技術革新",日本Newton Press,黃經良,人人出版股份有限公司,2026-01-01,420,9789864614998,,中文書 > 藝術設計 > 建築,https://www.eslite.com/product/10012023262683064672000
10012010272683041883009,阮劇團2023劇本農場劇作選 XI,王友輝,,遠景出版事業有限公司,2025-10-20,550,9789573912590,,中文書 > 藝術設計 > 表演藝術,https://www.eslite.com/product/10012010272683041883009
