production_id,title,url,publisher,author,publish_date,category,record_date,translator,price,isbn,original_title,vice_category
14915861,翻轉思慕╳新生情懷02,https://www.sanmin.com.tw/product/index/014915861,青文,天乃忍,2025-12-31,中文書 > 書畫 > 西洋畫,,小天野,99,9786264364072,リバース×リバース,休閒生活
15137604,讓我永遠當他的替代品吧 (全),https://www.sanmin.com.tw/product/index/015137604,東立,成瀨一草,2025-12-31,中文書 > 書畫 > 西洋畫,,李芸,150,9786260238698,,休閒生活
15137605,紫陽花牢籠 (全),https://www.sanmin.com.tw/product/index/015137605,東立,芥,2025-12-31,中文書 > 書畫 > 西洋畫,,都雪,140,9786260249847,,休閒生活
15137606,潔白鐘聲 (上),https://www.sanmin.com.tw/product/index/015137606,東立,芥,2025-12-31,中文書 > 書畫 > 西洋畫,,都雪,150,9786260249854,,休閒生活
15137607,潔白鐘聲（下）,https://www.sanmin.com.tw/product/index/015137607,東立,芥,2025-12-31,中文書 > 書畫 > 西洋畫,,都雪,150,9786260249861,,休閒生活
15137608,魔男伊奇03,https://www.sanmin.com.tw/product/index/015137608,東立,"宇佐崎 しろ-漫畫;
西修-原作",2025-12-31,中文書 > 書畫 > 西洋畫,,叢琳,110,9786260251772,,休閒生活
15137609,四週戀人 01,https://www.sanmin.com.tw/product/index/015137609,東立,Maroron,2025-12-31,中文書 > 書畫 > 西洋畫,,黃欣儀,380,9786260256302,,休閒生活
15137610,四週戀人 02,https://www.sanmin.com.tw/product/index/015137610,東立,Maroron,2025-12-31,中文書 > 書畫 > 西洋畫,,黃欣儀,380,9786260256319,,休閒生活
15137611,四週戀人 01+ 02【首刷限定版】,https://www.sanmin.com.tw/product/index/015137611,東立,Maroron,2025-12-31,中文書 > 書畫 > 西洋畫,,黃欣儀,1160,9786260256326,4주 애인,休閒生活
15021407,我們隊上的投捕搭檔好像有點怪怪的。01,https://www.sanmin.com.tw/product/index/015021407,長鴻出版社,N管ジャバ子,2025-12-31,中文書 > 書畫 > 西洋畫,,陳幼雯,140,9786264307109,ウチのバッテリーは何かがおかしい。,休閒生活
15135564,告訴我，你的全部。(全),https://www.sanmin.com.tw/product/index/015135564,東立,並榎雫,2025-12-31,中文書 > 書畫 > 西洋畫,,虫。,140,9786260228842,,休閒生活
15135565,不識鄰座貓咪和戀愛情感03【首刷限定版】,https://www.sanmin.com.tw/product/index/015135565,東立,あきのこ,2025-12-31,中文書 > 書畫 > 西洋畫,,叢琳,240,9786260263119,となりの猫と恋知らず,休閒生活
15135567,黑執事35,https://www.sanmin.com.tw/product/index/015135567,東立,枢やな,2025-12-31,中文書 > 書畫 > 西洋畫,,尤靜慧,110,9786260267254,,休閒生活
15109128,從後面來的神威先生07,https://www.sanmin.com.tw/product/index/015109128,尖端出版,"EROKI-作;
斑鰶幼魚-繪",2025-12-31,中文書 > 書畫 > 西洋畫,,蔡柏頤,140,9786264347532,うしろの正面　カムイさん,休閒生活
