NEW_TAICCA_ID,1106亦式ID,TAICCA_ID,未納入書目FIND,production_id,bookscom_production_id,kobo_production_id,readmoo_production_id,isbn,bookscom_isbn,kobo_isbn,readmoo_isbn,eisbn,bookscom_eisbn,kobo_eisbn,readmoo_eisbn,title,備註,bookscom_title,kobo_title,readmoo_title,processed_title,bookscom_processed_title,kobo_processed_title,readmoo_processed_title,original_title,bookscom_original_title,kobo_original_title,readmoo_original_title,author,bookscom_author,kobo_author,readmoo_author,translator,bookscom_translator,kobo_translator,readmoo_translator,publisher,Clean_publisher,bookscom_publisher,kobo_publisher,readmoo_publisher,min_publish_date,max_publish_date,bookscom_publish_date,kobo_publish_date,readmoo_publish_date,price,bookscom_original_price,kobo_original_price,readmoo_original_price,bookscom_category,kobo_category,readmoo_category,kobo_type_ebook,readmoo_type_ebook,bookscom_url,kobo_url,readmoo_url
E253-00035,E253-06777,E253-00035,,210398928000101,,,210398928000101.0,,,,9780020250906.0,,,,,《獨寵Anan》套書，共三冊,,,,《獨寵Anan》套書，共三冊,,,,,,,,,그웬돌린（Gwendolyn）,,,그웬돌린（Gwendolyn）,,,,子衿,朧月,朧月書版有限公司,,,朧月,,,,,2025/07/16,,,,798.0,,,輕小說-BL-韓國耽美,,套賣商品,,,https://readmoo.com/book/210398928000101
E253-00036,E253-00001,E253-00036,,eOPEVje0dzmUKRDHKybRMQ,,eOPEVje0dzmUKRDHKybRMQ,,,,9786264082631.0,,,,9786264082631.0,,「不糾結」的人生：不消耗自己、學會放下過去、控制負面情緒……讓心過得好一點，別再忙著「應付人生」！,,,「不糾結」的人生：不消耗自己、學會放下過去、控制負面情緒……讓心過得好一點，別再忙著「應付人生」！,,不糾結的人生不消耗自己學會放下過去控制負面情緒讓心過得好一點別再忙著應付人生,,不糾結的人生不消耗自己學會放下過去控制負面情緒讓心過得好一點別再忙著應付人生,,,,,,寧可以,,寧可以,,,,,,財經錢線,,,財經錢線,,,,,2025-07-01,,,,231.0,,,"非小說, 健康與幸福, 自助, 自我改善",,EPUB 3 (Adobe DRM),,,https://www.kobo.com/tw/zh/ebook/eOPEVje0dzmUKRDHKybRMQ,
E253-00037,E253-02523,E253-00037,,E050273467,E050273467,,,,4711441073251.0,,,,4711441073251.0,,,「引爆點」全攻略：《引爆趨勢》+《暗黑引爆點》雙書組合(電子書),,「引爆點」全攻略：《引爆趨勢》+《暗黑引爆點》雙書組合 (電子書),,,,,,,,,,,麥爾坎．葛拉威爾,麥爾坎．葛拉威爾,,,,,,,時報出版,時報文化出版企業股份有限公司,時報出版,,,,,2025/7/8,,,,940.0,,,中文書 >  商業理財 > 經濟／趨勢 > 觀念／趨勢,,,,,https://www.books.com.tw/products/E050273467,,
E253-00038,E253-00428,E253-00038,,av-44,,av-44,210401115000101.0,,,7399000000025.0,,,,7399000000025.0,,「客製化清潔女僕全套排毒計劃」李微微AV全收錄寫真,,,「客製化清潔女僕全套排毒計劃」 李微微 AV全收錄寫真,,客製化清潔女僕全套排毒計劃李微微av全收錄寫真,,客製化清潔女僕全套排毒計劃李微微AV全收錄寫真,,,,,,李微微,,李微微,,,,,,暮想出版,暮想出版股份有限公司,,暮想出版,,,,,2025-07-25,,,,199.0,,,愛情-成人-情色攝影,寫真集-AV女優,EPUB 3 (Adobe DRM),,,https://www.kobo.com/tw/zh/ebook/av-44,
E253-00041,E253-05060,E253-00041,,E050290024,E050290024,,,,,,,,9786267712542.0,,,【Minecraft英熊】塔基&福歐大冒險4：暮光森林(2)不幸城堡的魔法師(電子書),,【Minecraft英熊】塔基&福歐大冒險4：暮光森林(2)不幸城堡的魔法師 (電子書),,,,,,,,타키 포오：코믹 어드벤처 4,,,Taki & Poh,Taki & Poh,,,,林建豪（Bryan Lin）,,,小漫遊文化,小漫遊文化,小漫遊文化,,,,,2025/9/10,,,,266.0,,,中文書 >  童書/青少年文學 > 知識學習漫畫 > 科學/生物/環境,,,,,https://www.books.com.tw/products/E050290024,,
E253-00042,E253-02276,E253-00042,,E050272128,E050272128,,,,,,,,9786267399422.0,,,【一讀就懂】世界的歷史01：人類誕生與古代王國(七百萬年前~西元前六百年)(電子書),,【一讀就懂】世界的歷史01：人類誕生與古代王國(七百萬年前~西元前六百年) (電子書),,,,,,,,角川まんが学習シリーズ 世界の歴史 1 人類誕生と古代の王国 七〇〇万年前~紀元前六〇〇年,,,羽田正,羽田正,,,,許郁文,,,小光點,小光點,小光點,,,,,2025/7/1,,,,266.0,,,中文書 >  童書/青少年文學 > 知識學習漫畫 > 歷史文化,,,,,https://www.books.com.tw/products/E050272128,,
E253-00044 / E253-00043,E253-03101 / E253-00583,E253-00044 / E253-00043,,E050276899,E050276899,l44v5pyUVTq6xtLewft_Xg,210402337000101.0,,,9786267399439.0,,,9786267399439.0,9786267399439.0,,【一讀就懂】世界的歷史02：古代社會與思想家(西元前六百年~西元一年)(電子書),,【一讀就懂】世界的歷史02：古代社會與思想家(西元前六百年~西元一年) (電子書),【一讀就懂】世界的歷史02：古代社會與思想家（西元前六百年～西元一年）,,,,一讀就懂世界的歷史02古代社會與思想家西元前六百年西元一年,,,角川まんが学習シリーズ 世界の歴史 ２ 古代社会と思想家たち 紀元前六〇〇～紀元元年,,,羽田正,羽田正,羽田 正,,,許郁文,,,小光點,小光點,小光點,尖端出版,,2025-08-01,2025-08-01,2025/8/1,2025-08-01,,266.0,266.0,266.0,,中文書 >  童書/青少年文學 > 知識學習漫畫 > 歷史文化,兒童-漫畫、圖像小說與連環漫畫-傳記,青少年與兒童-知識學習,EPUB 3 (Adobe DRM),,https://www.books.com.tw/products/E050276899,https://www.kobo.com/tw/zh/ebook/l44v5pyUVTq6xtLewft_Xg,
E253-00045,E253-04600,E253-00045,,E050288059,E050288059,,,,,,,,9786267660676.0,ß,,【一讀就懂】世界的歷史03：古代的大帝國：秦、漢與羅馬(西元前兩百年~西元四百年)(電子書),,【一讀就懂】世界的歷史03：古代的大帝國：秦、漢與羅馬(西元前兩百年~西元四百年) (電子書),,,,,,,,角川まんが学習シリーズ　世界の歴史 3 秦・漢とローマ──古代の大帝国 紀元前二〇〇～紀元後四〇〇年,,,羽田正,羽田正,,,,許郁文,,,小光點,小光點,小光點,,,,,2025/8/29,,,,266.0,,,中文書 >  童書/青少年文學 > 知識學習漫畫 > 歷史文化,,,,,https://www.books.com.tw/products/E050288059,,
E253-00046,E253-04883,E253-00046,,E050288602,E050288602,,,,,,,,,,,【一讀就懂】世界的歷史04：唐朝、絲路與伊斯蘭教的發展(四百年~八百年)(電子書),,【一讀就懂】世界的歷史04：唐朝、絲路與伊斯蘭教的發展(四百年~八百年) (電子書),,,,,,,,,,,羽田正,羽田正,,,,許郁文,,,小光點,小光點,小光點,,,,,2025/9/3,,,,266.0,,,中文書 >  童書/青少年文學 > 知識學習漫畫 > 歷史文化,,,,,https://www.books.com.tw/products/E050288602,,
E253-00047,E253-05264,E253-00047,,E050291987,E050291987,,,,,,,,,,,【一讀就懂】世界的歷史05：宗教支撐的社會(八百年~一二〇〇年)(電子書),,【一讀就懂】世界的歷史05：宗教支撐的社會(八百年~一二〇〇年) (電子書),,,,,,,,,,,羽田正,羽田正,,,,許郁文,,,小光點,小光點,小光點,,,,,2025/9/23,,,,266.0,,,中文書 >  童書/青少年文學 > 知識學習漫畫 > 歷史文化,,,,,https://www.books.com.tw/products/E050291987,,
E253-00039,E253-02162,E253-00039,,oA8gTvtMIzKrwKPv2kvwOA,,oA8gTvtMIzKrwKPv2kvwOA,,,,6710600120002.0,,,,6710600120002.0,,「插進去就不算訓練了吧！?」直到瘦下來為止，全身汗流浹背的活塞運動！(第2話),,,「插進去就不算訓練了吧!?」直到瘦下來為止，全身汗流浹背的活塞運動！(第2話),,插進去就不算訓練了吧直到瘦下來為止全身汗流浹背的活塞運動第2話,,插進去就不算訓練了吧直到瘦下來為止全身汗流浹背的活塞運動第2話,,,,,,きみおたまこ,,きみおたまこ,,,,,,青文出版社,青文出版社股份有限公司,,青文出版社,,,,,2025-09-27,,,,45.0,,,漫畫、圖畫小說和漫畫-連環漫畫-黃色書刊,,EPUB 3 (Adobe DRM),,,https://www.kobo.com/tw/zh/ebook/oA8gTvtMIzKrwKPv2kvwOA,
